Video Filename,Rater 1,Rater 2,Rater 3
extreme-helpless/20250314-0111-19.1067370.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0113-20.1038722.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0117-36.7696840.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0119-01.0471808 (online-video-cutter.com).mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0123-18.4484079.mp4,little_helplessness,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0129-52.2129770.mp4,little_helplessness,extreme-helpless,little_helplessness
extreme-helpless/20250314-0133-19.6978974.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0136-59.0554144.mp4,extreme-helpless,little_helplessness,extreme-helpless
extreme-helpless/20250314-0241-12.5148857 (online-video-cutter.com).mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0246-12.0579631.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0259-31.9049875.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0304-47.4655431.mp4,extreme-helpless,little_helplessness,little_helplessness
extreme-helpless/20250314-0307-50.6072323.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0311-09.0391920.mp4,extreme-helpless,extreme-helpless,little_helplessness
extreme-helpless/20250314-0326-29.6456485.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0329-32.6300002.mp4,extreme-helpless,little_helplessness,little_helplessness
extreme-helpless/20250314-0339-19.4823637.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0346-29.0900144.mp4,extreme-helpless,little_helplessness,little_helplessness
extreme-helpless/20250314-0352-15.4177164 (online-video-cutter.com).mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0358-04.0523937.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/20250314-0400-25.8904999.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/3.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/6ix9ine-tired-ezgif.com-gif-to-mp4-converter (online-video-cutter.com).mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 4.46.22 PM.mov,extreme-helpless,extreme-helpless,little_helplessness
extreme-helpless/Screen Recording 2025-03-12 at 5.01.40 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.07.03 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.14.39 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.16.00 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.20.07 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.28.08 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.29.23 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.34.20 PM.mov,extreme-helpless,extreme-helpless,little_helplessness
extreme-helpless/Screen Recording 2025-03-12 at 5.35.19 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.37.55 PM.mov,extreme-helpless,little_helplessness,little_helplessness
extreme-helpless/Screen Recording 2025-03-12 at 5.39.42 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.41.38 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.48.22 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.49.53 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.51.42 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.53.27 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 5.55.41 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 8.14.12 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 8.17.33 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Screen Recording 2025-03-12 at 8.21.27 PM.mov,extreme-helpless,little_helplessness,little_helplessness
extreme-helpless/Screen Recording 2025-03-12 at 8.27.32 PM.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Untitled video - Made with Clipchamp (4).mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/Untitled.mov,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/chuck-mc-carthy-sad-ezgif.com-gif-to-mp4-converter.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/chup-chup-ke-rajpal-yadav-meme-ezgif.com-video-speed (online-video-cutter.com).mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/crying-shriya-pilgaonkar-ezgif.com-gif-to-mp4-converter.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/desperate-adam-b-ezgif.com-video-cutter.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/ewan-mc-gregor-ezgif.com-crop-video.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/exam-mr-bean-ezgif.com-crop-video.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/face-palm-ugh-ezgif.com-video-speed.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/floor-sobbing-ezgif.com-crop-video.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/friends-rachel-green-ezgif.com-crop-video.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/frustrated-doug-cousins-ezgif.com-crop-video.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/frustrated-frustration-ezgif.com-crop-video.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/frustrated-i-cant-even-ezgif.com-video-speed.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/giphy-ezgif.com-crop-video.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/giveup-surender-ezgif.com-gif-to-mp4-converter.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/headache-presence-ezgif.com-video-cutter.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/helpless-karunas-ezgif.com-crop-video.mp4,extreme-helpless,little_helplessness,extreme-helpless
extreme-helpless/hopeless-quit-ezgif.com-crop-video.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/marco-mengoni-ezgif.com-crop-video.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/no-confused-ezgif.com-crop-video.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/sad-crying-ezgif.com-crop-video.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/selena-gomez-ezgif.com-video-speed.mp4,little_helplessness,little_helplessness,extreme-helpless
extreme-helpless/shocked-adanga-maru-ezgif.com-crop-video.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/upset-emanuella-ezgif.com-video-speed.mp4,extreme-helpless,extreme-helpless,extreme-helpless
extreme-helpless/whine-give-ezgif.com-gif-to-mp4-converter.mp4,extreme-helpless,extreme-helpless,extreme-helpless
little_helplessness/20250314-0126-00.7660082.mp4,no-helpless,little_helplessness,little_helplessness
little_helplessness/20250314-0135-35.0451738.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0243-48.5836041.mp4,little_helplessness,little_helplessness,little_helplessness
